,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,0.06,0.25,27.6,450233,22.7,0,85422,26.7,N/A,43482,41.3%,0%,17.6%
RMIT University,0.04,0.13,18.6,412311,17.3,0,35787,23.4,N/A,11221,59.3%,0%,25.6%
National University of Singapore,0.15,0.51,456,,16.7,0,435173,625.8,N/A,,56.6%,0%,32.3%
La Trobe University,0.03,0.3,9.3,632251,29.6,0,73950,13,N/A,18791,42.2%,0%,25.3%
Curtin University,0.03,0.14,19.6,355751,18.4,0,47368,26.1,N/A,10633,61.4%,0%,36.1%
University of Canberra,0.02,0.16,7.2,482574,31,0,34638,9.2,N/A,4215,9.2%,0%,28.3%
University of Tasmania,0.06,0.2,9.9,507165,19.7,0,146008,14.8,N/A,27079,33.7%,0%,17.8%
The University of Queensland,0.11,0.69,87.2,1031874,35.4,0,356529,141.1,N/A,53550,37.9%,0%,25.2%
Western Sydney University,0.02,0.11,8.8,461994,28.6,0,27984,9.5,N/A,5058,49.4%,0%,13.3%
University of Sydney,0.1,0.3,154.6,564278,19,0,175445,211.4,N/A,43710,25%,0%,28.7%
James Cook University,0.05,0.18,15.2,649865,22.9,0,66034,25.7,N/A,15708,31.4%,0%,13%
University of Technology Sydney,0.03,0.3,13.3,751455,44,0,148091,22.9,N/A,15397,55.7%,0%,35.1%
Monash University,0.06,0.52,91.5,1053689,34.5,0,287543,131.7,N/A,62285,46.4%,0%,25.4%
University of Adelaide,0.08,0.48,36.9,891025,29.6,0,319530,44.7,N/A,48912,35.2%,0%,27.1%
Australian Catholic University,0.01,0.05,5,412766,31.1,0,21086,5.9,N/A,4842,1.7%,0%,9.6%
University of Otago,0.07,0.26,40.8,489008,20.2,0,66030,36.8,N/A,5059,60%,0%,20.3%
University of Auckland,0.06,0.24,55.5,445393,18.9,0,103189,84.2,N/A,53500,31.5%,0%,29%
University of South Australia,0.05,0.32,6.4,587812,29.6,0,118701,9.9,N/A,75367,81.1%,0%,33%
The University of Western Australia,0.05,0.29,33.5,721969,23,0,266076,53.5,N/A,23166,64.2%,0%,26.8%
Australian National University,0.16,0.47,114.5,876958,19.9,0,446277,248.6,N/A,29454,53.7%,0%,35.2%
University of Melbourne,0.2,0.85,198.3,883829,24.8,0,230512,298.2,N/A,43381,30.4%,0%,36.8%
Macquarie University,0.06,0.36,24.5,727669,32.8,0,74542,40.2,N/A,13017,19.9%,0%,23.7%
Griffith University,0.04,0.18,15.9,413986,22.3,0,51733,20.5,N/A,13107,46.4%,0%,19.8%
Deakin University,0.03,0.24,11.4,543309,31.1,0,28921,13.6,N/A,2987,40.4%,0%,16.6%
Queensland University of Technology,0.05,0.31,20.9,651777,36.3,0,165770,34.7,N/A,36684,39.9%,0%,17.1%
UNSW Sydney,0.1,0.43,83,775080,26.3,0,273457,147.8,N/A,24405,49.9%,0%,32.3%
University of Wollongong,0.07,0.37,12.5,646533,25.5,0,93179,26.7,N/A,23705,55.1%,0%,23.7%
Worldwide: Top*,0.31,0.77,38.8,6377301,43.1,0,1226666,46.7,0,218336,42.3%,0%,38.2%
Worldwide: 75%,0.15,0.38,16.3,2719780,23.9,0,508367,19.7,0,89374,18.5%,0%,17.5%
Worldwide: Median,0.08,0.22,4.5,700000,16.5,0,123560,5.1,0,15026,6.9%,0%,9.2%
Worldwide: 25%,0.04,0.11,1.2,277939,10.9,0,28427,1.6,0,3245,2.6%,0%,3.5%
Worldwide: Bottom*,0,0,0,0,0.5,0,0,0,0,-2529,0%,0%,0%
