,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,38.9,68.4,7.6,67.9,29.8,93.8,60.4,8.2,79.3,61.9,98.6,82.9,71.3
University of Auckland,39.7,65.3,22.3,57.6,35.3,97,64.8,19.9,85.5,56.4,97.3,90.1,95.6
James Cook University,37.4,36.7,6.3,57.9,37.6,91.3,33.5,5.4,78,43.4,99.2,86.4,95.7
Griffith University,37.4,54.4,9.2,61.1,28.1,99.8,47.5,10.6,76.4,52.8,99.8,78.9,70.8
University of Canberra,32.7,29.9,4.6,69.2,27.1,98.4,47.8,4.7,92.6,43,94.3,80.5,89.5
Curtin University,38.3,43.5,11.9,46.7,36.7,92.5,45,10.1,83,48.5,100,90,95.5
RMIT University,38.3,52,11.6,69.2,33.9,90,43.3,10,71.8,47.6,100,83.5,97.3
La Trobe University,35.4,47.5,8.2,66.8,31,99.8,50.1,4.9,83.2,51.8,95.6,73,96.6
National University of Singapore,48.3,74.1,89.4,100,38.1,93.8,100,90.3,90.2,87,99.9,94.9,87.2
The University of Queensland,62.5,99.5,40.3,93.7,27.6,99.8,93.9,46.3,84.3,82,92.3,88,99.3
University of Sydney,51.8,64.8,50,72,39.2,98.2,66.2,54.9,88.5,73.2,88.2,83.9,99.7
Macquarie University,39.5,99.2,10.6,99.7,21.2,99.9,87.5,11.8,76.1,64.9,93.1,85.3,91
Deakin University,34.5,42.9,9.7,64.2,27.7,98.4,37.2,9.8,83.2,44.6,94.4,83.7,87.9
Monash University,42.5,90.2,49.3,97.1,25,99.7,93.7,50.1,90.4,78.4,87.1,86.6,99.3
Queensland University of Technology,36.2,57.1,11.2,74.4,26.3,99.7,59.5,13.2,86,50.1,99.1,84.7,68
University of Technology Sydney,39.2,90.2,10.8,85.1,27.2,100,75.1,11.8,90.5,49.7,99,94.1,94.9
UNSW Sydney,57.8,99.5,31.4,94.6,26.8,99.9,97.6,32.6,85.9,63.5,99.9,86.2,99.2
University of Tasmania,41.6,56,5.9,61.4,34.6,94.9,61.6,5.8,71.5,48.1,92.4,82.8,98.1
University of Adelaide,43.4,81,25.4,84.2,28.1,99.5,92.4,22.4,92.2,65.3,99.4,85.2,96.2
Western Sydney University,36.3,55.6,6.3,65.9,25.6,98.3,41,6.4,87.6,44.1,100,81.7,82
University of Wollongong,39.3,63.8,10.1,81.5,29.9,99.8,61.2,10,74.8,57.2,99.4,91.2,91.3
University of South Australia,34.9,42.5,5.3,65.9,28.1,92.7,69.3,6.1,70.4,79.5,99.2,82.5,80.9
Australian Catholic University,32.1,31,2.3,62,25.9,90.8,31.9,2.2,98.3,38.4,91.2,86.2,62.3
University of Otago,42.7,57.3,15.5,57.2,38.2,87.4,51.6,11.2,70.2,38.8,100,89.3,74.7
University of Melbourne,67.9,99.5,62.3,79.7,33.7,99.4,89.9,63.4,85.8,78.1,97.6,83.3,99.9
The University of Western Australia,44.5,64.3,15.6,73.2,36.2,99.9,82.7,19.3,85.6,69.2,100,90.6,92.7
Australian National University,52,75.7,39.1,73.7,47.7,99.1,96.7,50,81.8,45.6,99.9,88,100
Worldwide: Top*,78.8,100,16.1,100,81.7,100,93,14.6,100,64,100,100,100
Worldwide: 75%,52,62.2,6.9,58.9,54.3,70.1,54.5,6.2,72.3,48.3,60.3,79,65.3
Worldwide: Median,39.4,36.7,2.1,38,44,38.1,35.5,1.7,47.2,40.5,34.1,45.6,35.2
Worldwide: 25%,34.1,25.6,0.7,27.8,35.8,21.7,28.8,0.6,23.1,37.8,25.4,21.4,23.6
Worldwide: Bottom*,30.4,16.7,0,15.8,17.4,10.8,25.8,0,0.8,37,22.2,1.2,18.7
