Unviersity,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Teaching reputation,Institutional income to academic staff,Students to academic staff ratio,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,Proportion of international academic staff,International co-authorship,Proportion of international students
University of Newcastle,-2.1,10.4,1.9,-0.9,-0.1,-0.4,3.3,3.2,0.4,0.5,0,-0.3,-3.6
University of Auckland,-1.9,5.5,3.6,-1.5,0.7,0.1,-11,0.4,0.7,-13,-0.5,0.2,-0.5
James Cook University,-5.3,-7.5,0.1,-4.3,0.2,-6.3,-1.2,-0.3,-10.6,-2.1,2.2,0.1,42.8
Griffith University,-2.9,1.6,-1,2.8,-1.8,0.1,1.7,0.2,-4,2.2,0.3,0.7,0
University of Canberra,-6.1,-36.8,0.5,-4.3,0.1,-0.9,-8,0.1,-6,-1.2,-4.1,2.9,-4.1
Curtin University,-2.1,3.3,1.8,-0.4,0,0.7,-1.4,1.8,0.5,5,0,-0.3,-0.6
RMIT University,-2.3,3.3,2.3,1,-0.1,-1.7,0.5,1.3,2,1.6,0,-1,0.1
La Trobe University,-4,-7.3,0,-5.8,3.4,0.1,-0.1,-1.7,-3.1,5.1,-1.3,-0.4,-2.4
National University of Singapore,-0.8,3.2,-0.7,0,-1.2,4.1,0,2.6,2.9,11.6,0,-0.4,-0.7
The University of Queensland,5.4,0,0.9,-0.5,0.7,-0.1,1,7.3,-1.5,-4.2,-1.4,0.9,-0.1
University of Sydney,4.7,10.9,-2.6,0.4,0.7,0.1,2.9,5,-2,7.1,0.1,-1,-0.1
Macquarie University,-2.9,0,0,-0.1,0.1,-0.1,1.9,1.4,4.7,1.6,3,0.5,-2.7
Deakin University,-3.8,-1.3,-1.3,-4.2,0,-0.4,-0.2,1.4,3.9,1.8,1.2,1.7,-4.6
Monash University,-1.5,2.6,4.3,-0.7,0.4,0,4.5,10.2,2.7,-0.8,0.6,0,-0.5
Queensland University of Technology,-4.5,-14.9,1.3,-5.3,0.8,0,4.7,3.5,-0.8,0.1,0,0.6,-2.5
University of Technology Sydney,-1.9,2.8,0.5,-7.8,1.5,0,-17.7,3.3,6.8,-5.3,-0.6,0.5,-3.4
UNSW Sydney,11.2,8.5,-3.8,-2.9,1.4,0,2.5,-3,1.8,-9.2,0,0.3,-0.5
University of Tasmania,-1.4,0.2,-0.7,-1.1,-0.3,1,6.1,1.8,1.2,1.1,-0.2,-0.3,-0.1
University of Adelaide,-0.5,7.8,11.1,2,-0.9,0,3.6,9.8,-2.1,-0.2,0,-0.7,0.3
Western Sydney University,-2.8,4.4,-2.3,2.1,-0.6,1.8,3.5,0.2,-1.1,1.7,0,0.7,-0.8
University of Wollongong,-3.1,-2.8,3,-3.6,0.7,-0.1,-0.7,1.3,-2.5,1.4,0.6,0,-2.8
University of South Australia,-3.4,1.2,-1,0.2,-0.2,-2.2,-2.3,0.7,2.3,-4.8,-0.6,-1.4,-0.5
Australian Catholic University,-4.3,-3.2,-0.3,-4,1.1,-4.1,-2.5,-0.5,2.4,1.8,-3.2,1.2,1.1
University of Otago,-1.2,2.6,1.2,-0.7,1.2,-1,2.5,-0.7,-7.3,-0.8,0,-0.4,-5.7
University of Melbourne,5,0.2,-1.2,-6.6,2.3,-0.3,5.8,1.7,-2.6,3.2,-0.7,-0.4,0
The University of Western Australia,0.3,1.4,1,-4.8,0.2,-0.1,11,3.9,-2.4,4.2,0,-1.4,-1.9
Australian National University,5,11.9,-3,-10.1,6.5,-0.8,-2.3,3.5,-6,-2.2,0,-1.8,0.2
