,Rank,NameCountry/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
0,1,University of OxfordUnited Kingdom,20774,11.1,41%,46 : 54
1,2,Stanford UniversityUnited States,16223,7.4,23%,44 : 56
2,3,Harvard UniversityUnited States,21261,9.3,25%,49 : 51
3,4,California Institute of TechnologyUnited States,2238,6.3,33%,36 : 64
4,5,Massachusetts Institute of TechnologyUnited States,11276,8.4,34%,39 : 61
5,6,University of CambridgeUnited Kingdom,19370,11.0,38%,47 : 53
6,7,"University of California, BerkeleyUnited States",39918,19.8,17%,51 : 49
7,8,Yale UniversityUnited States,12910,6.0,20%,50 : 50
8,9,Princeton UniversityUnited States,8091,8.0,23%,46 : 54
9,10,The University of ChicagoUnited States,14292,5.9,31%,46 : 54
10,11,Imperial College LondonUnited Kingdom,17176,11.6,58%,39 : 61
11,12,Johns Hopkins UniversityUnited States,16432,4.4,27%,52 : 48
12,13,University of PennsylvaniaUnited States,20771,6.4,21%,52 : 48
13,14,ETH ZurichSwitzerland,19632,13.1,40%,32 : 68
14,15,"University of California, Los AngelesUnited States",41673,10.0,17%,55 : 45
15,16,UCLUnited Kingdom,34590,10.8,55%,57 : 43
16,17,Columbia UniversityUnited States,27384,5.7,39%,
17,18,University of TorontoCanadaExplore,74502,20.0,22%,59 : 41
18,19,Cornell UniversityUnited States,23016,10.2,25%,50 : 50
19,=20,Duke UniversityUnited States,15489,4.3,21%,49 : 51
20,=20,Tsinghua UniversityChinaExplore,37484,11.6,13%,34 : 66
21,22,University of Michigan-Ann ArborUnited States,43873,8.3,17%,50 : 50
22,23,Peking UniversityChinaExplore,38583,11.1,16%,43 : 57
23,24,Northwestern UniversityUnited States,18529,13.0,19%,49 : 51
24,25,National University of SingaporeSingaporeExplore,30943,18.0,26%,50 : 50
25,26,New York UniversityUnited States,44474,8.8,34%,57 : 43
26,27,London School of Economics and Political ScienceUnited Kingdom,10660,12.0,72%,54 : 46
27,28,Carnegie Mellon UniversityUnited States,14058,13.7,48%,43 : 57
28,29,University of WashingtonUnited States,46258,10.7,17%,53 : 47
29,30,University of EdinburghUnited Kingdom,30649,12.1,42%,60 : 40
30,31,University of MelbourneAustralia,50094,27.0,48%,57 : 43
31,32,LMU MunichGermanyExplore,34249,33.6,17%,61 : 39
32,33,"University of California, San DiegoUnited States",34232,12.0,30%,47 : 53
33,34,University of British ColumbiaCanada,53123,18.7,32%,55 : 45
34,35,King’s College LondonUnited Kingdom,27400,12.4,46%,62 : 38
35,=36,Karolinska InstituteSweden,7696,8.8,26%,68 : 32
36,=36,The University of TokyoJapan,25935,10.6,13%,
37,38,Georgia Institute of TechnologyUnited States,26043,23.6,27%,33 : 67
38,39,University of Hong KongHong Kong,18135,18.2,43%,54 : 46
39,40,McGill UniversityCanada,31578,12.8,31%,59 : 41
40,41,Technical University of MunichGermany,32377,39.8,31%,36 : 64
41,42,Heidelberg UniversityGermany,20020,14.5,18%,54 : 46
42,43,École Polytechnique Fédérale de LausanneSwitzerland,10942,12.2,60%,29 : 71
43,44,University of Texas at AustinUnited States,49510,16.9,10%,52 : 48
44,45,KU LeuvenBelgiumExplore,45617,36.1,15%,50 : 50
45,46,Paris Sciences et Lettres – PSL Research University ParisFrance,20701,14.7,24%,46 : 54
46,47,"Nanyang Technological University, SingaporeSingapore",23902,14.8,25%,48 : 52
47,48,University of Illinois at Urbana-ChampaignUnited States,45980,17.8,24%,48 : 52
48,49,University of Wisconsin-MadisonUnited States,39451,9.8,13%,
49,50,Washington University in St LouisUnited States,13693,7.5,21%,
50,=51,University of ManchesterUnited KingdomExplore,36557,14.4,41%,53 : 47
51,=51,University of SydneyAustralia,46453,19.4,43%,58 : 42
52,53,University of Southern CaliforniaUnited States,41953,13.0,23%,49 : 51
53,=54,Boston UniversityUnited States,26510,11.1,28%,59 : 41
54,=54,Kyoto UniversityJapan,22935,9.3,11%,25 : 75
55,=56,Chinese University of Hong KongHong KongExplore,18675,19.3,33%,
56,=56,The Hong Kong University of Science and TechnologyHong KongExplore,9976,21.6,30%,
57,=56,University of North Carolina at Chapel HillUnited States,30956,8.2,8%,58 : 42
58,59,Australian National UniversityAustralia,18801,17.8,47%,53 : 47
59,60,Seoul National UniversitySouth Korea,26757,15.1,11%,
60,61,Brown UniversityUnited States,9695,10.8,20%,
61,=62,The University of QueenslandAustraliaExplore,40389,35.5,38%,55 : 45
62,=62,Wageningen University & ResearchNetherlands,14356,21.0,27%,54 : 46
63,=64,"University of California, DavisUnited States",36395,13.6,17%,58 : 42
64,=64,Monash UniversityAustralia,57406,41.7,43%,57 : 43
65,66,University of AmsterdamNetherlandsExplore,24747,12.8,24%,57 : 43
66,67,UNSW SydneyAustraliaExplore,46234,41.0,44%,47 : 53
67,68,"University of California, Santa BarbaraUnited States",24780,28.2,18%,53 : 47
68,69,McMaster UniversityCanadaExplore,25285,30.5,18%,55 : 45
69,=70,Fudan UniversityChina,32597,11.2,13%,52 : 48
70,=70,Leiden UniversityNetherlandsExplore,30178,19.0,18%,59 : 41
71,72,Erasmus University RotterdamNetherlandsExplore,26453,26.8,22%,50 : 50
72,=73,University of MontrealCanadaExplore,36774,20.2,21%,
73,=73,University of ZurichSwitzerland,22960,14.8,21%,57 : 43
