,Rank,NameCountry/Region,Overall,Teaching,Research,Citations,Industry Income,International Outlook
0,1,University of OxfordUnited Kingdom,95.6,91.3,99.6,98.0,68.7,96.4
1,2,Stanford UniversityUnited States,94.9,92.2,96.7,99.9,90.1,79.5
2,3,Harvard UniversityUnited States,94.8,94.4,98.8,99.4,46.8,77.7
3,4,California Institute of TechnologyUnited States,94.5,92.5,96.9,97.0,92.7,83.6
4,5,Massachusetts Institute of TechnologyUnited States,94.4,90.7,94.4,99.7,90.4,90.0
5,6,University of CambridgeUnited Kingdom,94.0,90.3,99.2,95.6,52.1,95.7
6,7,"University of California, BerkeleyUnited States",92.2,85.8,97.2,99.1,84.3,72.3
7,8,Yale UniversityUnited States,91.6,91.9,93.8,97.9,56.1,68.4
8,9,Princeton UniversityUnited States,91.5,88.8,92.5,98.9,58.0,80.2
9,10,The University of ChicagoUnited States,90.3,88.9,90.5,98.6,54.9,74.0
10,11,Imperial College LondonUnited Kingdom,89.4,82.3,88.2,97.2,69.6,97.4
11,12,Johns Hopkins UniversityUnited States,89.2,81.6,91.8,97.7,93.4,73.9
12,13,University of PennsylvaniaUnited States,88.9,85.4,89.9,98.1,77.9,66.3
13,14,ETH ZurichSwitzerland,87.9,80.4,92.3,90.5,62.8,98.0
14,15,"University of California, Los AngelesUnited States",87.1,82.5,90.2,96.5,57.6,65.3
15,16,UCLUnited Kingdom,86.9,76.6,89.4,96.2,42.1,96.5
16,17,Columbia UniversityUnited States,86.8,85.1,82.9,97.7,45.0,79.8
17,18,University of TorontoCanadaExplore,86.0,75.4,90.9,94.5,50.0,87.2
18,19,Cornell UniversityUnited States,85.3,78.8,86.7,97.2,36.3,73.7
19,=20,Duke UniversityUnited States,84.8,80.7,80.4,96.9,99.7,65.5
20,=20,Tsinghua UniversityChinaExplore,84.8,87.7,94.9,78.8,100.0,51.1
21,22,University of Michigan-Ann ArborUnited States,84.0,79.0,86.9,95.4,47.2,59.6
22,23,Peking UniversityChinaExplore,83.9,89.6,91.3,75.4,96.3,61.2
23,24,Northwestern UniversityUnited States,83.6,74.9,83.6,98.2,69.9,64.5
24,25,National University of SingaporeSingaporeExplore,83.5,75.9,90.8,81.5,77.8,94.8
25,26,New York UniversityUnited States,81.9,76.1,80.6,96.0,37.3,69.6
26,27,London School of Economics and Political ScienceUnited Kingdom,81.4,68.5,82.5,94.3,34.1,92.8
27,28,Carnegie Mellon UniversityUnited States,81.0,65.1,81.3,98.9,53.3,80.5
28,29,University of WashingtonUnited States,80.4,69.8,80.5,98.7,45.6,60.9
29,30,University of EdinburghUnited Kingdom,79.4,67.2,74.7,96.0,38.7,94.6
30,31,University of MelbourneAustralia,78.9,67.1,76.3,90.1,74.2,93.9
31,32,LMU MunichGermanyExplore,78.2,68.7,78.7,87.9,100.0,68.1
32,33,"University of California, San DiegoUnited States",77.7,60.3,80.4,94.3,95.6,64.4
33,34,University of British ColumbiaCanada,76.4,62.1,75.1,90.0,44.7,94.7
34,35,King’s College LondonUnited Kingdom,76.1,57.3,72.4,96.6,43.6,95.4
35,=36,Karolinska InstituteSweden,76.0,57.6,72.2,95.8,71.4,87.3
36,=36,The University of TokyoJapan,76.0,87.9,90.7,57.7,82.6,40.1
37,38,Georgia Institute of TechnologyUnited States,75.8,59.5,76.8,91.1,65.8,78.9
38,39,University of Hong KongHong Kong,75.2,67.5,73.3,80.3,57.4,99.0
39,40,McGill UniversityCanada,75.1,64.2,73.4,86.4,43.7,91.3
